hparams_seed,algorithm,test_env,val_env,trial,seed
1,ERMMerged,all,train,0,504771191
1,ERMMerged,all,train,1,423095857
1,ERMMerged,all,train,2,809671759
1,ERMMerged,all,train,3,1475357133
1,ERMMerged,all,train,4,2088982194
2,ERMMerged,all,train,0,687326293
2,ERMMerged,all,train,1,276516834
2,ERMMerged,all,train,2,876420386
2,ERMMerged,all,train,3,124969191
2,ERMMerged,all,train,4,1302068490
3,ERMMerged,all,train,0,1687118244
3,ERMMerged,all,train,1,638786009
3,ERMMerged,all,train,2,1473104633
3,ERMMerged,all,train,3,1124116402
3,ERMMerged,all,train,4,501602719
4,ERMMerged,all,train,0,1251044218
4,ERMMerged,all,train,1,680989118
4,ERMMerged,all,train,2,1796970462
4,ERMMerged,all,train,3,852683783
4,ERMMerged,all,train,4,1305870943
5,ERMMerged,all,train,0,1534062075
5,ERMMerged,all,train,1,538616999
5,ERMMerged,all,train,2,730061097
5,ERMMerged,all,train,3,939190899
5,ERMMerged,all,train,4,680006586
6,ERMMerged,all,train,0,1672859330
6,ERMMerged,all,train,1,705930420
6,ERMMerged,all,train,2,1640868570
6,ERMMerged,all,train,3,8946528
6,ERMMerged,all,train,4,1655482770
7,ERMMerged,all,train,0,1129602922
7,ERMMerged,all,train,1,853147642
7,ERMMerged,all,train,2,181658585
7,ERMMerged,all,train,3,1251729789
7,ERMMerged,all,train,4,1866397037
8,ERMMerged,all,train,0,1281424355
8,ERMMerged,all,train,1,725780466
8,ERMMerged,all,train,2,2146156123
8,ERMMerged,all,train,3,1708041596
8,ERMMerged,all,train,4,707545377
9,ERMMerged,all,train,0,1915224484
9,ERMMerged,all,train,1,671308532
9,ERMMerged,all,train,2,1740174281
9,ERMMerged,all,train,3,888849962
9,ERMMerged,all,train,4,1450027067
10,ERMMerged,all,train,0,1307671981
10,ERMMerged,all,train,1,606447341
10,ERMMerged,all,train,2,626224131
10,ERMMerged,all,train,3,1975060088
10,ERMMerged,all,train,4,1685466711
11,ERMMerged,all,train,0,198520948
11,ERMMerged,all,train,1,1299837626
11,ERMMerged,all,train,2,1291865661
11,ERMMerged,all,train,3,690943630
11,ERMMerged,all,train,4,1482752374
12,ERMMerged,all,train,0,1850663541
12,ERMMerged,all,train,1,1802208826
12,ERMMerged,all,train,2,274501098
12,ERMMerged,all,train,3,728323767
12,ERMMerged,all,train,4,2000051703
13,ERMMerged,all,train,0,314352545
13,ERMMerged,all,train,1,1420376532
13,ERMMerged,all,train,2,1494917734
13,ERMMerged,all,train,3,1533698983
13,ERMMerged,all,train,4,860971618
14,ERMMerged,all,train,0,1940650457
14,ERMMerged,all,train,1,569243800
14,ERMMerged,all,train,2,203463291
14,ERMMerged,all,train,3,308536865
14,ERMMerged,all,train,4,171873628
15,ERMMerged,all,train,0,616248999
15,ERMMerged,all,train,1,240493822
15,ERMMerged,all,train,2,553615904
15,ERMMerged,all,train,3,2108960179
15,ERMMerged,all,train,4,1600389482
16,ERMMerged,all,train,0,1437566952
16,ERMMerged,all,train,1,440604608
16,ERMMerged,all,train,2,704616670
16,ERMMerged,all,train,3,385557043
16,ERMMerged,all,train,4,1738253960
17,ERMMerged,all,train,0,800053400
17,ERMMerged,all,train,1,1168387639
17,ERMMerged,all,train,2,794314171
17,ERMMerged,all,train,3,1108867589
17,ERMMerged,all,train,4,1712829557
18,ERMMerged,all,train,0,1285047426
18,ERMMerged,all,train,1,460968685
18,ERMMerged,all,train,2,287413462
18,ERMMerged,all,train,3,1145460089
18,ERMMerged,all,train,4,720499573
19,ERMMerged,all,train,0,1354036299
19,ERMMerged,all,train,1,1987860310
19,ERMMerged,all,train,2,81156178
19,ERMMerged,all,train,3,440071237
19,ERMMerged,all,train,4,564532458
20,ERMMerged,all,train,0,1555570936
20,ERMMerged,all,train,1,383259255
20,ERMMerged,all,train,2,2007659022
20,ERMMerged,all,train,3,636861558
20,ERMMerged,all,train,4,318666538
21,ERMMerged,all,train,0,1231176706
21,ERMMerged,all,train,1,718828360
21,ERMMerged,all,train,2,1282907574
21,ERMMerged,all,train,3,1535258124
21,ERMMerged,all,train,4,652548828
22,ERMMerged,all,train,0,1448887752
22,ERMMerged,all,train,1,959666397
22,ERMMerged,all,train,2,832201158
22,ERMMerged,all,train,3,364882210
22,ERMMerged,all,train,4,688962065
23,ERMMerged,all,train,0,380650112
23,ERMMerged,all,train,1,1952298592
23,ERMMerged,all,train,2,898403305
23,ERMMerged,all,train,3,1992763030
23,ERMMerged,all,train,4,1398576813
24,ERMMerged,all,train,0,1347044226
24,ERMMerged,all,train,1,12232350
24,ERMMerged,all,train,2,326637824
24,ERMMerged,all,train,3,110701747
24,ERMMerged,all,train,4,1124331527
25,ERMMerged,all,train,0,1464213638
25,ERMMerged,all,train,1,627866957
25,ERMMerged,all,train,2,1535142270
25,ERMMerged,all,train,3,2145748635
25,ERMMerged,all,train,4,100525153
26,ERMMerged,all,train,0,150238305
26,ERMMerged,all,train,1,1380927941
26,ERMMerged,all,train,2,1883249667
26,ERMMerged,all,train,3,1261412745
26,ERMMerged,all,train,4,1354049211
27,ERMMerged,all,train,0,1245951691
27,ERMMerged,all,train,1,790611336
27,ERMMerged,all,train,2,817634393
27,ERMMerged,all,train,3,717447332
27,ERMMerged,all,train,4,392135521
28,ERMMerged,all,train,0,1671730479
28,ERMMerged,all,train,1,1984871441
28,ERMMerged,all,train,2,1326420414
28,ERMMerged,all,train,3,2098581427
28,ERMMerged,all,train,4,190700707
29,ERMMerged,all,train,0,85820335
29,ERMMerged,all,train,1,422402126
29,ERMMerged,all,train,2,810366087
29,ERMMerged,all,train,3,616291708
29,ERMMerged,all,train,4,925644645
30,ERMMerged,all,train,0,2058445440
30,ERMMerged,all,train,1,422880651
30,ERMMerged,all,train,2,1466690055
30,ERMMerged,all,train,3,166261117
30,ERMMerged,all,train,4,949352649
1,ERMID,miiv,t,0,163979309
1,ERMID,miiv,t,1,942286762
